Date,close_week_average
11/9/2023,4377.946
11/8/2023,4377.946
11/7/2023,4377.946
11/6/2023,4377.946
11/3/2023,4254.92
11/2/2023,4254.92
11/1/2023,4254.92
10/31/2023,4254.92
10/30/2023,4254.92
10/27/2023,4181.218
10/26/2023,4181.218
10/25/2023,4181.218
10/24/2023,4181.218
10/23/2023,4181.218
10/20/2023,4312.718
10/19/2023,4312.718
10/18/2023,4312.718
10/17/2023,4312.718
10/16/2023,4312.718
10/13/2023,4349.648
10/12/2023,4349.648
10/11/2023,4349.648
10/10/2023,4349.648
10/9/2023,4349.648
10/6/2023,4269.656
10/5/2023,4269.656
10/4/2023,4269.656
10/3/2023,4269.656
10/2/2023,4269.656
9/29/2023,4294.646
9/28/2023,4294.646
9/27/2023,4294.646
9/26/2023,4294.646
9/25/2023,4294.646
9/22/2023,4389.948
9/21/2023,4389.948
9/20/2023,4389.948
9/19/2023,4389.948
9/18/2023,4389.948
9/15/2023,4474.444
9/14/2023,4474.444
9/13/2023,4474.444
9/12/2023,4474.444
9/11/2023,4474.444
9/8/2023,4467.735
9/7/2023,4467.735
9/6/2023,4467.735
9/5/2023,4467.735
9/1/2023,4493.848
8/31/2023,4493.848
8/30/2023,4493.848
8/29/2023,4493.848
8/28/2023,4493.848
8/25/2023,4401.07
8/24/2023,4401.07
8/23/2023,4401.07
8/22/2023,4401.07
8/21/2023,4401.07
8/18/2023,4414.396
8/17/2023,4414.396
8/16/2023,4414.396
8/15/2023,4414.396
8/14/2023,4414.396
8/11/2023,4483.682
8/10/2023,4483.682
8/9/2023,4483.682
8/8/2023,4483.682
8/7/2023,4483.682
8/4/2023,4531.8
8/3/2023,4531.8
8/2/2023,4531.8
8/1/2023,4531.8
7/31/2023,4531.8
7/28/2023,4561.698
7/27/2023,4561.698
7/26/2023,4561.698
7/25/2023,4561.698
7/24/2023,4561.698
7/21/2023,4542.94
7/20/2023,4542.94
7/19/2023,4542.94
7/18/2023,4542.94
7/17/2023,4542.94
7/14/2023,4467.282
7/13/2023,4467.282
7/12/2023,4467.282
7/11/2023,4467.282
7/10/2023,4467.282
7/7/2023,4428.2375
7/6/2023,4428.2375
7/5/2023,4428.2375
7/3/2023,4428.2375
6/30/2023,4386.182
6/29/2023,4386.182
6/28/2023,4386.182
6/27/2023,4386.182
6/26/2023,4386.182
6/23/2023,4371.155
6/22/2023,4371.155
6/21/2023,4371.155
6/20/2023,4371.155
6/16/2023,4383.192
6/15/2023,4383.192
6/14/2023,4383.192
6/13/2023,4383.192
6/12/2023,4383.192
6/9/2023,4283.59
6/8/2023,4283.59
6/7/2023,4283.59
6/6/2023,4283.59
6/5/2023,4283.59
6/2/2023,4222.185
6/1/2023,4222.185
5/31/2023,4222.185
5/30/2023,4222.185
5/26/2023,4162.036
5/25/2023,4162.036
5/24/2023,4162.036
5/23/2023,4162.036
5/22/2023,4162.036
5/19/2023,4158.996
5/18/2023,4158.996
5/17/2023,4158.996
5/16/2023,4158.996
5/15/2023,4158.996
5/12/2023,4129.926
5/11/2023,4129.926
