"Date","tech"
2022-04-05,8098.368
2022-04-04,8098.368
2022-04-01,8423.458
2022-03-31,8423.458
2022-03-30,8423.458
2022-03-29,8423.458
2022-03-28,8423.458
2022-03-25,8244.242
2022-03-24,8244.242
2022-03-23,8244.242
2022-03-22,8244.242
2022-03-21,8244.242
2022-03-18,7728.058
2022-03-17,7728.058
2022-03-16,7728.058
2022-03-15,7728.058
2022-03-14,7728.058
2022-03-11,7590.016
2022-03-10,7590.016
2022-03-09,7590.016
2022-03-08,7590.016
2022-03-07,7590.016
2022-03-04,8132.318
2022-03-03,8132.318
2022-03-02,8132.318
2022-03-01,8132.318
2022-02-28,8132.318
2022-02-25,8026.5925
2022-02-24,8026.5925
2022-02-23,8026.5925
2022-02-22,8026.5925
2022-02-18,8276.494
2022-02-17,8276.494
2022-02-16,8276.494
2022-02-15,8276.494
2022-02-14,8276.494
2022-02-11,8483.212
2022-02-10,8483.212
2022-02-09,8483.212
2022-02-08,8483.212
2022-02-07,8483.212
2022-02-04,8491.286
2022-02-03,8491.286
2022-02-02,8491.286
2022-02-01,8491.286
2022-01-31,8491.286
2022-01-28,8091.372
2022-01-27,8091.372
2022-01-26,8091.372
2022-01-25,8091.372
2022-01-24,8091.372
2022-01-21,8484.235
2022-01-20,8484.235
2022-01-19,8484.235
2022-01-18,8484.235
2022-01-14,9029.41
2022-01-13,9029.41
2022-01-12,9029.41
2022-01-11,9029.41
2022-01-10,9029.41
2022-01-07,9215.118
2022-01-06,9215.118
2022-01-05,9215.118
2022-01-04,9215.118
2022-01-03,9215.118
2021-12-31,9575.39
2021-12-30,9679.1725
2021-12-29,9679.1725
2021-12-28,9679.1725
2021-12-27,9679.1725
2021-12-23,9371.358
2021-12-22,9371.358
2021-12-21,9371.358
2021-12-20,9371.358
2021-12-17,9371.358
2021-12-16,9369.598
2021-12-15,9369.598
2021-12-14,9369.598
2021-12-13,9369.598
2021-12-10,9369.598
2021-12-09,9425.93
2021-12-08,9425.93
2021-12-07,9425.93
2021-12-06,9425.93
2021-12-03,9425.93
2021-12-02,9433.478
2021-12-01,9433.478
2021-11-30,9433.478
2021-11-29,9433.478
2021-11-26,9433.478
2021-11-24,9652.2925
2021-11-23,9652.2925
2021-11-22,9652.2925
2021-11-19,9652.2925
2021-11-18,9799.144
2021-11-17,9799.144
2021-11-16,9799.144
2021-11-15,9799.144
2021-11-12,9799.144
2021-11-11,9690.306
2021-11-10,9690.306
2021-11-09,9690.306
2021-11-08,9690.306
2021-11-05,9690.306
2021-11-04,9420.772
2021-11-03,9420.772
2021-11-02,9420.772
2021-11-01,9420.772
2021-10-29,9420.772
2021-10-28,9179.476
2021-10-27,9179.476
2021-10-26,9179.476
2021-10-25,9179.476
2021-10-22,9179.476
2021-10-21,9077.688
2021-10-20,9077.688
2021-10-19,9077.688
2021-10-18,9077.688
2021-10-15,9077.688
2021-10-14,8662.822
2021-10-13,8662.822
2021-10-12,8662.822
2021-10-11,8662.822
2021-10-08,8662.822
2021-10-07,8576.9
2021-10-06,8576.9
2021-10-05,8576.9
2021-10-04,8576.9
2021-10-01,8576.9
2021-09-30,8810.494
2021-09-29,8810.494
2021-09-28,8810.494
2021-09-27,8810.494
2021-09-24,8810.494
2021-09-23,8998.48
2021-09-22,8998.48
2021-09-21,8998.48
2021-09-20,8998.48
2021-09-17,8998.48
2021-09-16,9143.696
2021-09-15,9143.696
2021-09-14,9143.696
2021-09-13,9143.696
2021-09-10,9143.696
2021-09-09,9156.8325
2021-09-08,9156.8325
2021-09-07,9156.8325
2021-09-03,9156.8325
2021-09-02,9167.882
2021-09-01,9167.882
2021-08-31,9167.882
2021-08-30,9167.882
2021-08-27,9167.882
2021-08-26,8975.252
2021-08-25,8975.252
2021-08-24,8975.252
2021-08-23,8975.252
2021-08-20,8975.252
2021-08-19,8757.334
2021-08-18,8757.334
2021-08-17,8757.334
2021-08-16,8757.334
2021-08-13,8757.334
2021-08-12,8907.69
2021-08-11,8907.69
2021-08-10,8907.69
2021-08-09,8907.69
2021-08-06,8907.69
2021-08-05,8957.936
2021-08-04,8957.936
2021-08-03,8957.936
2021-08-02,8957.936
2021-07-30,8957.936
2021-07-29,8719.284
2021-07-28,8719.284
2021-07-27,8719.284
2021-07-26,8719.284
2021-07-23,8719.284
2021-07-22,8505.21
2021-07-21,8505.21
2021-07-20,8505.21
2021-07-19,8505.21
2021-07-16,8505.21
2021-07-15,8595.056
2021-07-14,8595.056
2021-07-13,8595.056
2021-07-12,8595.056
2021-07-09,8595.056
2021-07-08,8622.315
2021-07-07,8622.315
2021-07-06,8622.315
2021-07-02,8622.315
2021-07-01,8635.244
2021-06-30,8635.244
2021-06-29,8635.244
2021-06-28,8635.244
2021-06-25,8635.244
2021-06-24,8375.67
2021-06-23,8375.67
2021-06-22,8375.67
2021-06-21,8375.67
2021-06-18,8375.67
2021-06-17,8279.804
2021-06-16,8279.804
2021-06-15,8279.804
2021-06-14,8279.804
2021-06-11,8279.804
2021-06-10,8113.016
2021-06-09,8113.016
2021-06-08,8113.016
2021-06-07,8113.016
2021-06-04,8113.016
2021-06-03,8011.465
2021-06-02,8011.465
2021-06-01,8011.465
2021-05-28,8011.465
2021-05-27,7991.43
2021-05-26,7991.43
2021-05-25,7991.43
2021-05-24,7991.43
2021-05-21,7991.43
2021-05-20,7705.844
2021-05-19,7705.844
2021-05-18,7705.844
2021-05-17,7705.844
2021-05-14,7705.844
2021-05-13,7659.224
2021-05-12,7659.224
2021-05-11,7659.224
2021-05-10,7659.224
2021-05-07,7659.224
2021-05-06,7943.906
2021-05-05,7943.906
2021-05-04,7943.906
2021-05-03,7943.906
2021-04-30,7943.906
2021-04-29,8301.2
2021-04-28,8301.2
2021-04-27,8301.2
2021-04-26,8301.2
2021-04-23,8301.2
2021-04-22,8177.426
2021-04-21,8177.426
2021-04-20,8177.426
2021-04-19,8177.426
2021-04-16,8177.426
2021-04-15,8297.354
2021-04-14,8297.354
2021-04-13,8297.354
2021-04-12,8297.354
2021-04-09,8297.354
2021-04-08,8227.635
2021-04-07,8227.635
2021-04-06,8227.635
2021-04-05,8227.635
2021-04-01,7838.252
2021-03-31,7838.252
2021-03-30,7838.252
2021-03-29,7838.252
2021-03-26,7838.252
2021-03-25,7679.462
2021-03-24,7679.462
2021-03-23,7679.462
