Security,UMG NA Equity,,,,,
Start Date,9/21/2021 0:00,,,,,
End Date,3/26/2025 0:00,,,,,
Period,D,,,,,
Currency,USD,,,,,
,,,,,,
Date,PX_LAST,Change,% Change,PX_BID,Change,% Change
9/22/2022,18.04262,-0.05699,-0.314868663,18.04262,-0.05501,-0.303962453
9/21/2022,18.09961,-0.03405,-0.187772353,18.09763,-0.03403,-0.18768276
9/20/2022,18.13366,-0.5207,-2.791304553,18.13166,-0.51269,-2.749841105
9/19/2022,18.65436,-0.00869,-0.046562593,18.64435,-0.0187,-0.100197985
9/16/2022,18.66305,-0.9287,-4.740260569,18.66305,-0.9267,-4.730535101
9/15/2022,19.59175,0.05761,0.294919561,19.58975,0.05761,0.29494976
9/14/2022,19.53414,-0.10193,-0.519095725,19.53214,-0.10393,-0.529281063
9/13/2022,19.63607,-0.56063,-2.77584952,19.63607,-0.56063,-2.77584952
9/12/2022,20.1967,0.52102,2.648040627,20.1967,0.52102,2.648040627
9/9/2022,19.67568,0.39563,2.0520175,19.67568,0.39563,2.0520175
9/8/2022,19.28005,0.08003,0.416822482,19.28005,0.08003,0.416822482
9/7/2022,19.20002,0.03007,0.156860086,19.20002,0.03007,0.156860086
9/6/2022,19.16995,0.00499,0.026037101,19.16995,0.00499,0.026037101
9/5/2022,19.16496,0.02854,0.149139703,19.16496,0.02854,0.149139703
9/2/2022,19.13642,0.1647,0.868134255,19.13642,0.1647,0.868134255
9/1/2022,18.97172,-0.94123,-4.726723062,18.97172,-0.93721,-4.707485535
8/31/2022,19.91295,0.31603,1.612651376,19.90893,0.31201,1.592137948
8/30/2022,19.59692,-0.6484,-3.202715492,19.59692,-0.6484,-3.202715492
8/29/2022,20.24532,-0.1039,-0.510584681,20.24532,-0.09891,-0.486182077
8/26/2022,20.34922,-0.27005,-1.309697191,20.34423,-0.26508,-1.286214822
8/25/2022,20.61927,0.12604,0.615032379,20.60931,0.11608,0.566430963
8/24/2022,20.49323,0.19594,0.965350547,20.49323,0.19594,0.965350547
8/23/2022,20.29729,0.13036,0.646404782,20.29729,0.13533,0.671214505
8/22/2022,20.16693,-0.74809,-3.576807481,20.16196,-0.75306,-3.600570308
8/19/2022,20.91502,-0.56659,-2.637558358,20.91502,-0.56659,-2.637558358
8/18/2022,21.48161,-0.25116,-1.155674127,21.48161,-0.25116,-1.155674127
8/17/2022,21.73277,-0.02247,-0.103285461,21.73277,-0.01739,-0.079953435
8/16/2022,21.75524,-0.26562,-1.206219921,21.75016,-0.26562,-1.206498248
8/15/2022,22.02086,0.02985,0.135737285,22.01578,0.02477,0.112636937
8/12/2022,21.99101,-0.11519,-0.521075535,21.99101,-0.11519,-0.521075535
8/11/2022,22.1062,0.10363,0.470990434,22.1062,0.11395,0.518137071
8/10/2022,22.00257,0.41194,1.907957294,21.99225,0.40162,1.860158782
8/9/2022,21.59063,-0.22881,-1.048652028,21.59063,-0.21861,-1.002373306
8/8/2022,21.81944,-0.0231,-0.105756931,21.80924,-0.0282,-0.129136016
8/5/2022,21.84254,-0.5509,-2.460095457,21.83744,-0.556,-2.482869983
8/4/2022,22.39344,-0.31211,-1.374597841,22.39344,-0.31211,-1.374597841
8/3/2022,22.70555,0.06245,0.275801458,22.70555,0.06245,0.275801458
8/2/2022,22.6431,-0.12408,-0.544995032,22.6431,-0.11895,-0.522580348
8/1/2022,22.76718,0.2777,1.23479956,22.76205,0.27257,1.211988894
7/29/2022,22.48948,0.29933,1.348931846,22.48948,0.30441,1.372139011
7/28/2022,22.19015,0.12289,0.55688835,22.18507,0.11781,0.53386782
7/27/2022,22.06726,0.44105,2.039423459,22.06726,0.44611,2.063303756
7/26/2022,21.62621,-0.38471,-1.747814267,21.62115,-0.38977,-1.770802856
7/25/2022,22.01092,0.09398,0.428800736,22.01092,0.09398,0.428800736
7/22/2022,21.91694,-0.06091,-0.277142669,21.91694,-0.03545,-0.161485834
7/21/2022,21.97785,0.08249,0.376746489,21.95239,0.05703,0.260466144
7/20/2022,21.89536,-0.09719,-0.441922378,21.89536,-0.09719,-0.441922378
7/19/2022,21.99255,0.5046,2.34829288,21.99255,0.50968,2.372494923
7/18/2022,21.48795,0.6102,2.922728742,21.48287,0.60512,2.898396618
7/15/2022,20.87775,0.44116,2.158677157,20.87775,0.44116,2.158677157
7/14/2022,20.43659,-0.33737,-1.624004282,20.43659,-0.33737,-1.624004282
7/13/2022,20.77396,-0.37636,-1.779452982,20.77396,-0.37636,-1.779452982
7/12/2022,21.15032,0.16185,0.771137677,21.15032,0.16688,0.795293813
7/11/2022,20.98847,-0.30631,-1.438427633,20.98344,-0.28084,-1.320712481
7/8/2022,21.29478,0.55319,2.667056865,21.26428,0.52777,2.545124517
7/7/2022,20.74159,0.23282,1.135221664,20.73651,0.23791,1.160615847
7/6/2022,20.50877,0.22162,1.092415642,20.4986,0.21965,1.083142865
