Security,SPOT US Equity,,,,,
Start Date,7/10/2020 0:00,,,,,
End Date,3/21/2025 0:00,,,,,
Period,W,,,,,
Currency,USD,,,,,
,,,,,,
Date,PX_LAST,Change,% Change,PX_BID,Change,% Change
3/12/2021,279.89,4.91,1.785584406,279.79,4.81,1.749218125
3/5/2021,274.98,-32.4,-10.54069881,274.98,-32.27,-10.50284784
2/26/2021,307.38,-57.21,-15.69159878,307.25,-57.01,-15.65090869
2/19/2021,364.59,24.89,7.327053282,364.26,24.72,7.28043824
2/12/2021,339.7,28.93,9.309135373,339.54,28.78,9.261166173
2/5/2021,310.77,-4.23,-1.342857143,310.76,-3.19,-1.016085364
1/29/2021,315,-23.96,-7.06868067,313.95,-25.01,-7.378451735
1/22/2021,338.96,19.14,5.984616347,338.96,19.15,5.987930334
1/15/2021,319.82,-33.29,-9.427657104,319.81,-33.31,-9.433053919
1/8/2021,353.11,38.45,12.21953855,353.12,39.11,12.45501736
1/1/2021,314.66,-13.73,-4.181004294,314.01,-14.07,-4.288588149
12/25/2020,328.39,-7.71,-2.293960131,328.08,-7.65,-2.278616746
12/18/2020,336.1,-5.12,-1.500498212,335.73,-4.92,-1.444297666
12/11/2020,341.22,21.45,6.707946336,340.65,20.89,6.533024769
12/4/2020,319.77,42.15,15.18262373,319.76,42.76,15.4368231
11/27/2020,277.62,17.62,6.776923077,277,17.05,6.558953645
11/20/2020,260,6.5,2.564102564,259.95,6.45,2.544378698
11/13/2020,253.5,-22.6,-8.185440058,253.5,-22.63,-8.195415203
11/6/2020,276.1,36.21,15.09441828,276.13,36.26,15.11652145
10/30/2020,239.89,-43.6,-15.37973121,239.87,-43.62,-15.38678613
10/23/2020,283.49,20.94,7.975623691,283.49,21.24,8.09914204
10/16/2020,262.55,12.55,5.02,262.25,12.25,4.9
10/9/2020,250,9.72,4.045280506,250,9.73,4.049610854
10/2/2020,240.28,4.3,1.822188321,240.27,4.21,1.783444887
9/25/2020,235.98,2.09,0.893582453,236.06,2.18,0.932101933
9/18/2020,233.89,-7.71,-3.191225166,233.88,-7.91,-3.271433889
9/11/2020,241.6,-6.61,-2.663067564,241.79,-6.42,-2.586519479
9/4/2020,248.21,-31.15,-11.15048683,248.21,-31.15,-11.15048683
8/28/2020,279.36,8.38,3.09247915,279.36,8.55,3.157195081
8/21/2020,270.98,19.66,7.822696164,270.81,19.49,7.755053318
8/14/2020,251.32,-0.8,-0.317309218,251.32,-0.76,-0.30149159
8/7/2020,252.12,-5.7,-2.210844775,252.08,-5.46,-2.12005902
7/31/2020,257.82,-10.92,-4.06340701,257.54,-11.09,-4.128354986
7/24/2020,268.74,5.51,2.093226456,268.63,5.17,1.962347225
7/17/2020,263.23,-15.01,-5.394623347,263.46,-14.74,-5.298346513
7/10/2020,278.24,,,278.2,,
